,Name,Usn,mail,mobile
37,subham,1MS23EI064-T,subham987@gmail.com,8351098320
38,vasa ram,1MS23ME059-T,vasaram940@gmail.com,8862874698
39,ganpatram,1MS23AL063-T,ganpatram347@gmail.com,8883044455
40,mohan singh,1MS21AI089,mohansingh784@gmail.com,9545417593
41,rakesh,1MS22ME036,rakesh410@outlook.com,7252153744
42,ram kishan,1MS22EI053,ramkishan132@gmail.com,9516555588
43,kailesh chand,1MS23ME071-T,kaileshchand27@gmail.com,9532602672
44,muzmil,1MS21CY048,muzmil772@hotmail.com,8041146703
45,sultan,1MS23CI015-T,sultan447@hotmail.com,7539123474
46,santu & ramesh,1MS21ME056,santu&ramesh405@gmail.com,8505669104
47,shri puran singh rawat,1MS23IS085-T,shripuransinghrawat8@gmail.com,7036173066
48,raju,1MS23CS090-T,raju107@yahoo.com,9229352359
49,chandan kumar,1MS22CI059,chandankumar182@gmail.com,7413753613
50,shakil ahmad,1MS21EC038,shakilahmad339@gmail.com,8533373740
51,mohan,1MS23EC098-T,mohan117@aol.com,7945853537
52,mithu lal,1MS23EC047-T,mithulal144@gmail.com,8643636039
53,jamshed,1MS23CS091-T,jamshed396@gmail.com,9135135270
54,chander pal,1MS23AI029-T,chanderpal828@gmail.com,7297914183
55,md rahul,1MS23IS063-T,mdrahul321@aol.com,7295424500
56,parveen,1MS21ME029,parveen803@gmail.com,9843279434
57,jyoti prasad,1MS23IS087-T,jyotiprasad924@aol.com,8493355309
58,durvesh,1MS22CI092,durvesh153@gmail.com,7442037801
59,satender kumar,1MS22AI089,satenderkumar835@gmail.com,8331855104
60,rajat kuamr,1MS23EC067-T,rajatkuamr3@gmail.com,7852070108
61,mahender kumar,1MS23AI089-T,mahenderkumar775@gmail.com,7630794040
62,jaiprakash,1MS23AL036-T,jaiprakash344@yahoo.com,8671266050
63,shail,1MS21AI023-T,shail400@gmail.com,8241287651
64,harish chand,1MS21ME087,harishchand126@yahoo.com,7046382975
65,deepak kumar,1MS21EC065,deepakkumar146@aol.com,9135439778
66,rahul,1MS22CY089,rahul66@gmail.com,9443084374
67,abhimanyu,1MS23EI075-T,abhimanyu925@yahoo.com,9256228608
68,nila madhava hagglund,1MS23AL088-T,nilamadhavahagglund10@outlook.com,9547896067
69,sunil kansal,1MS22CS048,sunilkansal445@hotmail.com,7386596147
70,mukul,1MS23CS014-T,mukul697@gmail.com,7850711876
71,aamir,1MS23AI083-T,aamir677@hotmail.com,8235954194
72,rohit ahlawat,1MS21CI074,rohitahlawat308@outlook.com,9155224785
73,emran kha,1MS21EI058,emrankha148@outlook.com,7726332198
74,raju,1MS22AL042,raju756@aol.com,9016995261
75,govind patel,1MS22AL022,govindpatel489@gmail.com,7122208889
76,kavit,1MS21EI046,kavit131@gmail.com,7718900412
77,shankar sharma,1MS22AL040,shankarsharma13@gmail.com,9589536642
78,bhanwer lal,1MS22CS075,bhanwerlal779@gmail.com,7458318486
79,laxmanram,1MS23CI022-T,laxmanram828@gmail.com,7855523797
80,karan singh,1MS23AL042-T,karansingh374@outlook.com,7184286784
81,arjun ram,1MS21CI051,arjunram267@hotmail.com,9968447527
82,badri narayan yadav,1MS23CS052-T,badrinarayanyadav977@outlook.com,9386170118
83,dilip singh,1MS21AI015,dilipsingh586@gmail.com,9111826621
84,imran khan,1MS23CI098-T,imrankhan761@gmail.com,9032018028
85,mnoj sethi,1MS23AL078-T,mnojsethi785@gmail.com,8611867577
86,manoj kumar,1MS23CY040-T,manojkumar821@gmail.com,7820008557
87,surender,1MS23EI020-T,surender781@gmail.com,8241742246
88,satish kumar,1MS23CS082-T,satishkumar700@yahoo.com,8243912084
89,kapil jhakhar,1MS23EC083-T,kapiljhakhar61@gmail.com,8172048943
90,devpal,1MS23IS066-T,devpal736@aol.com,8977757338
91,brij mohan,1MS23CI045-T,brijmohan40@gmail.com,9852159495
92,narbahadur,1MS23CI062-T,narbahadur82@gmail.com,9650710848
93,sumit parkash,1MS23CY054-T,sumitparkash278@gmail.com,7442105764
94,ajay choudhary,1MS22CS024,ajaychoudhary869@gmail.com,8829927516
95,atul uppel,1MS22IS083,atuluppel24@gmail.com,9740354448
96,bhura khan,1MS23CY057-T,bhurakhan822@gmail.com,9484691039
97,permeshwar parsad,1MS23EI047-T,permeshwarparsad559@outlook.com,9530557416
98,kaushik kumar,1MS22ME021,kaushikkumar482@outlook.com,7712820545
99,हेमराज,1MS22CI071,हेमराज854@yahoo.com,8221099990
100,mahveer singh,1MS23IS085-T,mahveersingh483@gmail.com,7100114279
101,amjad,1MS21EI079,amjad64@outlook.com,8466708522
102,kusumakar mishra,1MS22CS099,kusumakarmishra484@gmail.com,9392451438
103,naman kaushik,1MS22EI053,namankaushik427@gmail.com,9924646666
104,lekhraj,1MS23CY032-T,lekhraj368@gmail.com,8061933011
105,mohd suleman,1MS23IS075-T,mohdsuleman213@gmail.com,7378284219
106,ranjeet singh,1MS22EI032,ranjeetsingh592@gmail.com,9716272223
107,satender,1MS23ME064-T,satender437@aol.com,9887793754
108,vinit,1MS21AL035,vinit87@aol.com,7615470766
109,mukesh,1MS22CI068,mukesh543@hotmail.com,7778366105
110,deepak kumar,1MS21EI023-T,deepakkumar79@gmail.com,7159019425
111,rohit,1MS23CI014-T,rohit817@gmail.com,8481733544
112,hashim,1MS23EI088-T,hashim524@gmail.com,8605848683
113,rohit sharma,1MS21CI055,rohitsharma982@gmail.com,8401543863
114,dal chand,1MS23CS013-T,dalchand231@gmail.com,8225043774
115,sanjeev,1MS23CS087-T,sanjeev882@yahoo.com,9077470076
116,ajay,1MS22AI018,ajay105@gmail.com,8370825786
117,puneet jain,1MS21AL034,puneetjain951@outlook.com,9331604111
118,himanshu,1MS23AL089-T,himanshu563@outlook.com,9143161090
119,mani kant,1MS23CS044-T,manikant488@gmail.com,9010282499
120,ram chander jha,1MS23AI055-T,ramchanderjha411@aol.com,9853549327
121,ashok kumar rawat,1MS23EC040-T,ashokkumarrawat684@gmail.com,9129112747
122,mohsin,1MS23AL079-T,mohsin312@gmail.com,9308657139
123,anuj gupta,1MS22AL057,anujgupta561@gmail.com,8807541920
124,vimal dhakad,1MS22CY041,vimaldhakad71@gmail.com,7423912142
125,harpal singh,1MS23EC055-T,harpalsingh399@yahoo.com,9919541119
126,nirmaljeet singh,1MS21EC021,nirmaljeetsingh3@gmail.com,9377883502
127,gaurav,1MS21EI068,gaurav504@gmail.com,8740533838
128,shankar singh,1MS21CS088,shankarsingh369@gmail.com,9501564697
129,gurmeet singh,1MS21CI073,gurmeetsingh453@outlook.com,9969346839
130,anil kumar,1MS22EC095,anilkumar918@gmail.com,7754566954
131,mukesh,1MS21CI064,mukesh254@gmail.com,7991042362
132,saurab,1MS21ME019,saurab750@outlook.com,7173612702
133,miha singh,1MS22IS020,mihasingh740@gmail.com,7112986975
134,narender,1MS23CS074-T,narender567@aol.com,9992571672
135,hardeep,1MS22ME015,hardeep971@gmail.com,7313419503
136,talvender,1MS21IS091,talvender294@outlook.com,9394617755
137,mukesh kumar,1MS22CS016,mukeshkumar823@gmail.com,9331527999
138,mohd khalid,1MS23ME016-T,mohdkhalid626@outlook.com,9900199286
139,satynarayan,1MS22CY094,satynarayan768@hotmail.com,8060213519
140,hashrat,1MS22IS030,hashrat792@yahoo.com,7809371356
141,sanjay kumar kukreja,1MS23CI011-T,sanjaykumarkukreja242@gmail.com,9608291487
142,chintu lal,1MS22EC069,chintulal772@gmail.com,8531729658
143,rajat garg,1MS21EC041,rajatgarg490@gmail.com,9023832578
144,suraj,1MS23EI071-T,suraj542@outlook.com,9422732457
145,sandeep singh,1MS23CY030-T,sandeepsingh299@gmail.com,9744068586
146,babu lal,1MS23IS048-T,babulal583@hotmail.com,9678560567
147,sanjay,1MS21EC073,sanjay117@gmail.com,8654913753
148,ct. shyam lal,1MS23EI094-T,ct.shyamlal873@gmail.com,9447677248
149,faisal,1MS23CI023-T,faisal785@outlook.com,7285669445
150,anubhav,1MS22EI027,anubhav124@gmail.com,9753326563
151,bhram singh,1MS21IS087,bhramsingh82@outlook.com,9832455014
152,neeraj kumar,1MS21CY021,neerajkumar506@gmail.com,7117752397
153,latesh,1MS23IS075-T,latesh399@outlook.com,8378155735
154,sunil singh,1MS21AL066,sunilsingh256@gmail.com,8799934201
155,vicky,1MS22ME072,vicky598@gmail.com,8324144169
156,omprakash,1MS21IS029,omprakash148@gmail.com,9291032455
157,jogender kumar,1MS23CI088-T,jogenderkumar607@gmail.com,9128590945
158,afsar khan,1MS23AL010-T,afsarkhan750@gmail.com,8087097086
159,avfesh,1MS22CI073,avfesh654@gmail.com,9145733951
160,dev puri goswami,1MS23CI059-T,devpurigoswami969@gmail.com,8783614470
161,arsad,1MS23CS091-T,arsad151@gmail.com,8157381676
162,bilal,1MS21CI084,bilal445@outlook.com,9209231698
163,dinesh yadav,1MS23CI088-T,dineshyadav154@gmail.com,7845396050
164,jasbir singh,1MS21IS093,jasbirsingh202@gmail.com,7853675125
165,naveen nischal,1MS22EI078,naveennischal570@gmail.com,7909514330
166,babu lal,1MS22CS025,babulal912@gmail.com,8752485739
167,gaurav,1MS23CS082-T,gaurav855@aol.com,9235340952
168,rajeev kumar,1MS21IS080,rajeevkumar222@gmail.com,7336983144
169,ajeet singh,1MS23CI044-T,ajeetsingh162@gmail.com,8728482513
170,dheerendra tiwari,1MS23EC057-T,dheerendratiwari260@gmail.com,8181273312
171,akhlesh paswan,1MS23AL029-T,akhleshpaswan803@gmail.com,7888975647
172,anjan jha,1MS21IS025,anjanjha637@gmail.com,8776645574
173,mohd. hasan ali,1MS23IS018-T,mohd.hasanali471@aol.com,9536916992
174,mahender sharma,1MS22EI060,mahendersharma888@gmail.com,8805536859
175,ranvir,1MS21EC080,ranvir163@gmail.com,8201034850
176,harishankar,1MS21ME079,harishankar541@aol.com,9028703002
177,kamal jit singh,1MS23CS015-T,kamaljitsingh818@aol.com,7124178560
178,omi,1MS21AI059,omi397@gmail.com,7892195867
179,sujen manjhi,1MS21CS027,sujenmanjhi927@gmail.com,9820765478
180,aman,1MS22ME028,aman899@aol.com,7258685137
181,bahadur singh,1MS22CY032,bahadursingh361@outlook.com,8159005992
182,kalyan singh devra,1MS23EI074-T,kalyansinghdevra526@gmail.com,7179360279
183,ranjeet singh,1MS23AL017-T,ranjeetsingh445@gmail.com,7864261577
184,manoj kumar rajhans,1MS23IS046-T,manojkumarrajhans148@hotmail.com,8481301304
185,manish dimri,1MS21ME016,manishdimri368@outlook.com,7388502495
186,ramkishan,1MS23ME041-T,ramkishan902@hotmail.com,9403334058
187,sagar,1MS23AL054-T,sagar723@gmail.com,7048427410
188,shyam lal gupta,1MS22AL097,shyamlalgupta824@gmail.com,7014888936
189,rahul,1MS23AL063-T,rahul387@gmail.com,9533751539
190,jitendra kumar,1MS22IS047,jitendrakumar117@gmail.com,7761042497
191,aman bhatt,1MS21IS087,amanbhatt157@gmail.com,9974614615
192,latur s/o gopal koli,1MS21CI088,laturs/ogopalkoli325@gmail.com,9604086176
193,surjeet singh,1MS22CI021,surjeetsingh435@gmail.com,9625693695
194,rajender,1MS22IS020,rajender398@gmail.com,8438321186
195,suraj kumar,1MS22AL047,surajkumar46@gmail.com,8013219993
196,sanjay yadav,1MS22IS019,sanjayyadav657@gmail.com,7701905576
197,bhagirath,1MS22CI044,bhagirath34@gmail.com,7544036967
198,girish chander kapadi,1MS23EI083-T,girishchanderkapadi304@gmail.com,9671968168
199,sohib,1MS21CS021,sohib537@gmail.com,8895550255
200,abhishek,1MS21EI020,abhishek864@gmail.com,8313548325
201,monu,1MS23CI080-T,monu516@yahoo.com,9582688007
202,roop kishore,1MS23EI098-T,roopkishore159@gmail.com,7654896090
203,muntiyaj,1MS23ME049-T,muntiyaj194@gmail.com,8631934045
204,jai shanker,1MS22AL018,jaishanker566@outlook.com,7590037828
205,lokesh,1MS23CS024-T,lokesh455@gmail.com,9488664679
206,mithlesh yadav,1MS23EC033-T,mithleshyadav699@gmail.com,9376920268
207,vaseem,1MS23EC093-T,vaseem817@outlook.com,8020086757
208,mohd. aslam,1MS23EI048-T,mohd.aslam521@outlook.com,8141574822
209,rahul,1MS23EI024-T,rahul67@gmail.com,8854004097
210,aman,1MS21ME095,aman493@gmail.com,9923576592
211,kailash,1MS23AI085-T,kailash238@gmail.com,7651434978
212,shiva,1MS23IS077-T,shiva458@gmail.com,7298903956
213,rumeet kumar,1MS23AL045-T,rumeetkumar33@gmail.com,8721020927
214,noornabi,1MS22CI036,noornabi927@outlook.com,8954103842
215,prabhu dayal,1MS21AL021,prabhudayal291@gmail.com,9323713614
216,ramchander,1MS21ME030,ramchander838@gmail.com,9508524929
217,manish,1MS21CI030,manish253@gmail.com,9368197441
218,vipin,1MS22AI090,vipin863@hotmail.com,8639054856
219,arsad,1MS23AI062-T,arsad153@aol.com,7622935154
220,ashik pathak,1MS23CY096-T,ashikpathak680@outlook.com,7045655300
221,gopal singh,1MS22CI046,gopalsingh998@outlook.com,8149259689
222,mishrilaal,1MS22AL040,mishrilaal106@gmail.com,8206202900
223,meenaz khan,1MS23AL085-T,meenazkhan904@gmail.com,8668219607
224,roshan kumar,1MS21CS028,roshankumar971@gmail.com,9777810392
225,madanlal,1MS23AL029-T,madanlal107@outlook.com,9578146551
226,virender,1MS22EI093,virender921@outlook.com,7721428492
227,kamal,1MS21IS023-T,kamal954@gmail.com,9785368417
228,gopal singh,1MS22CS094,gopalsingh655@outlook.com,9827052961
229,vijay kumar,1MS23CS071-T,vijaykumar785@gmail.com,8120512673
230,vinay bhattia,1MS22AL089,vinaybhattia659@outlook.com,7913049567
231,mohd jahid,1MS22CI041,mohdjahid51@gmail.com,8600584944
232,sameer,1MS22IS051,sameer46@gmail.com,9044767240
233,farhan,1MS23AI021-T,farhan757@hotmail.com,8195331490
234,lal babu,1MS22CY079,lalbabu943@yahoo.com,9150818480
235,sumit,1MS22AL093,sumit746@gmail.com,7929105168
236,anmol shukla,1MS23EI047-T,anmolshukla670@gmail.com,8347568395
237,vinit,1MS23AL029-T,vinit832@gmail.com,8998238008
238,sumit,1MS22ME039,sumit145@outlook.com,7617296516
239,mohd. irfan,1MS21ME070,mohd.irfan68@gmail.com,8597063279
240,itwari lal,1MS23ME077-T,itwarilal970@gmail.com,9669241462
241,rammurti,1MS23IS037-T,rammurti540@gmail.com,8853312820
242,devender jain,1MS22EC031,devenderjain976@gmail.com,7514847697
243,haliya charpota,1MS22CS036,haliyacharpota613@outlook.com,7751267412
244,papp,1MS23AL012-T,papp592@hotmail.com,8586376926
245,ramkiashan,1MS23CI092-T,ramkiashan254@gmail.com,7077410112
246,ram ratan,1MS23CS069-T,ramratan744@gmail.com,8551779362
247,nijamuddin,1MS21IS076,nijamuddin806@outlook.com,7990479568
248,ravi,1MS23CI043-T,ravi571@gmail.com,8871629579
249,rajuddin,1MS21IS097,rajuddin979@gmail.com,9661512606
250,inderjeet kumar,1MS21AI050,inderjeetkumar606@hotmail.com,7552979688
251,sawan kumar,1MS23AI017-T,sawankumar182@hotmail.com,8409652395
252,sandeep dubey,1MS22AI027,sandeepdubey229@gmail.com,9013746464
253,kapil,1MS22IS024,kapil153@hotmail.com,9688755174
254,kailash,1MS22AI011,kailash811@gmail.com,8774350467
255,mohd danish,1MS23CS064-T,mohddanish868@aol.com,7455009118
256,monu,1MS22CS049,monu476@gmail.com,9602000862
257,samir,1MS22EC094,samir710@gmail.com,8020267362
258,sanjya chhetri,1MS22AL010,sanjyachhetri856@gmail.com,9983021622
259,mohd kaim,1MS22AL077,mohdkaim802@gmail.com,9986868885
260,jatin,1MS23CY042-T,jatin226@hotmail.com,8663201930
261,gopal dhakad,1MS23CY041-T,gopaldhakad667@gmail.com,7755348312
262,suresh,1MS22CY088,suresh123@gmail.com,7762717912
263,aaftab alam,1MS22CI026,aaftabalam602@gmail.com,7930784828
264,krishan kumar,1MS23EI027-T,krishankumar357@gmail.com,7021365144
265,kamal jyoti sharma,1MS22EI044,kamaljyotisharma531@gmail.com,9786635046
266,rahul,1MS21CY068,rahul206@gmail.com,7930579382
267,abhishek,1MS23CY074-T,abhishek579@gmail.com,9262700318
268,praveen,1MS22CS015,praveen80@outlook.com,8055940738
269,mazhar,1MS23CY093-T,mazhar573@outlook.com,8967729518
270,vinay,1MS23CS060-T,vinay963@outlook.com,8452215327
271,sh amrik singh,1MS23AL068-T,shamriksingh708@gmail.com,7749041336
272,arun,1MS22AL069,arun751@gmail.com,7320419383
273,jitender,1MS22CS025,jitender875@gmail.com,8857325803
274,sanju,1MS23EC028-T,sanju569@yahoo.com,7490199622
275,saurabh pande,1MS22CY033,saurabhpande447@gmail.com,8011192834
276,hitesh,1MS21AL038,hitesh666@gmail.com,7796536076
277,suraj,1MS23EI063-T,suraj192@outlook.com,9338957462
278,lakshay,1MS22ME055,lakshay518@gmail.com,9800910054
279,givinda,1MS23CI068-T,givinda939@outlook.com,9523134675
280,bhagwan singh,1MS23CY043-T,bhagwansingh998@gmail.com,9707490496
281,jahgeer,1MS21AL047,jahgeer322@gmail.com,7616693242
282,ashutosh,1MS23CS094-T,ashutosh632@outlook.com,9495600293
283,shiv kumar sharma,1MS23CY075-T,shivkumarsharma91@gmail.com,8646524633
284,sattaram,1MS21EC071,sattaram720@gmail.com,8284766686
285,zahid kuraisi,1MS22IS089,zahidkuraisi328@yahoo.com,7654613346
286,balbir singh,1MS22AL022,balbirsingh808@gmail.com,8453049143
287,mithun malakar,1MS22ME049,mithunmalakar535@gmail.com,9893249336
288,ghanshyam,1MS21CS042,ghanshyam140@gmail.com,7541868397
289,ajay,1MS23CS050-T,ajay1@aol.com,9577335123
290,satpal morya,1MS22AI027,satpalmorya239@hotmail.com,8400310120
291,monu,1MS22IS090,monu805@gmail.com,7667574559
292,nankesh,1MS21ME097,nankesh199@gmail.com,8477368802
293,satish kumar bhatnagar,1MS21EC034,satishkumarbhatnagar255@outlook.com,8101781460
294,deepak,1MS21CY066,deepak174@outlook.com,8135411955
295,uday veer,1MS23IS079-T,udayveer589@gmail.com,8343601552
296,rohit,1MS21IS095,rohit3@gmail.com,7664153698
297,ashok kumar,1MS23EC015-T,ashokkumar900@gmail.com,7000577098
298,arvind,1MS23CY072-T,arvind720@gmail.com,8979919657
299,mubarik ali,1MS22EI077,mubarikali388@gmail.com,9020132347
300,vikram singh rawat,1MS23CY013-T,vikramsinghrawat852@gmail.com,7899339136
301,soni prasad,1MS21CI010,soniprasad575@gmail.com,7738909520
302,jalmi,1MS23CS093-T,jalmi789@gmail.com,9363842388
303,abhishek,1MS23ME027-T,abhishek79@gmail.com,8246866857
304,rajesh singh,1MS23CI071-T,rajeshsingh122@yahoo.com,7551270616
305,parveen,1MS23IS020-T,parveen908@gmail.com,8960707613
306,jagdish nayak,1MS23IS066-T,jagdishnayak627@gmail.com,9401028279
307,chet ram s/o ram chander,1MS22CS016,chetrams/oramchander226@gmail.com,9894622220
308,ganga ram,1MS21ME045,gangaram273@gmail.com,7761267530
309,gorav,1MS23EI067-T,gorav106@gmail.com,7448140343
310,vinay yadav,1MS23AI073-T,vinayyadav444@gmail.com,9787284201
311,sonam w/o kanhiya gurjar,1MS23IS038-T,sonamw/okanhiyagurjar49@gmail.com,7200334348
312,terence nameirak pam,1MS22AI083,terencenameirakpam531@gmail.com,7208029677
313,hiten dev,1MS23ME013-T,hitendev872@outlook.com,9826604532
314,kuldeep,1MS23CY025-T,kuldeep689@gmail.com,8951003841
315,keshave mahta,1MS22AI088,keshavemahta976@gmail.com,9589688795
316,shivnath,1MS23EC070-T,shivnath750@yahoo.com,7898503193
317,asha ram,1MS23ME044-T,asharam37@hotmail.com,8258291762
318,mukesh kuril,1MS21EI049,mukeshkuril444@outlook.com,9279271997
319,sahnaj,1MS22ME061,sahnaj602@gmail.com,9527553372
320,sohan lal,1MS22ME025,sohanlal774@hotmail.com,7421533699
321,gora singh,1MS21CY058,gorasingh419@gmail.com,9503509059
322,sachin,1MS22ME080,sachin297@gmail.com,9551006081
323,balram,1MS23EC093-T,balram323@gmail.com,8011717471
324,satrudan,1MS23EI019-T,satrudan637@gmail.com,8992005224
325,anil kumar,1MS23EI087-T,anilkumar820@outlook.com,7594065193
326,raj kumar,1MS22EI094,rajkumar496@gmail.com,8713787018
327,rambir,1MS21EC014,rambir442@gmail.com,7818935987
328,inderjeet kumar,1MS22CI083,inderjeetkumar42@gmail.com,8139752177
329,azad,1MS23CY066-T,azad104@gmail.com,9056449869
330,veer singh,1MS23CS098-T,veersingh685@hotmail.com,7975559941
331,ajit singh,1MS21CY095,ajitsingh538@gmail.com,8939133308
332,mujeeb,1MS22CS045,mujeeb237@gmail.com,8507734823
333,praveen,1MS21IS033,praveen307@gmail.com,8482688068
334,दीपक कुमार,1MS23EC070-T,दीपककुमार284@gmail.com,8542226856
335,lal metho,1MS21CI085,lalmetho782@hotmail.com,8631775961
336,raja ram,1MS23EC082-T,rajaram752@gmail.com,8171433561
337,birbal ram,1MS22AL075,birbalram186@aol.com,9792598930
338,dharam singh,1MS23CS089-T,dharamsingh891@gmail.com,7745976579
339,rajkumar,1MS23EC035-T,rajkumar667@gmail.com,8326872529
340,arun kumar,1MS22EC056,arunkumar286@gmail.com,8439749562
341,bijender,1MS23CS084-T,bijender546@hotmail.com,8402013120
342,mohd noman,1MS23EC026-T,mohdnoman870@gmail.com,8743980366
343,kushal  gupta,1MS22CI033,kushalgupta958@gmail.com,8390260049
344,harpal singh,1MS21AI066,harpalsingh77@aol.com,8776652654
345,subhash,1MS21AI092,subhash288@gmail.com,8905046977
346,raheesh,1MS23ME089-T,raheesh87@gmail.com,8096412105
347,vijay bahadur,1MS23AI037-T,vijaybahadur369@outlook.com,7426024688
348,balraj singh,1MS22EC099,balrajsingh845@yahoo.com,9533299462
349,rajan,1MS23ME046-T,rajan601@gmail.com,8658264353
350,ajit kumar,1MS23CY070-T,ajitkumar689@gmail.com,7511961407
351,krishana,1MS22IS095,krishana214@gmail.com,8552367219
352,firoz,1MS23CS087-T,firoz378@gmail.com,7061959747
353,rajeev,1MS22EC045,rajeev69@outlook.com,8906361615
354,ram chander,1MS23ME054-T,ramchander858@aol.com,8851647558
355,suraj,1MS23CS090-T,suraj923@gmail.com,9467287028
356,amar pal,1MS23ME059-T,amarpal22@gmail.com,8243538501
357,laxman rao,1MS22IS055,laxmanrao44@gmail.com,8007744137
358,tara singh rawat,1MS23CI049-T,tarasinghrawat867@outlook.com,8475849684
359,amarjeet,1MS22AI096,amarjeet814@gmail.com,7958376986
360,dharmbir,1MS21AI086,dharmbir967@gmail.com,9749266496
361,nila madhava hagglund,1MS21CI056,nilamadhavahagglund351@hotmail.com,7847214121
362,vikash kumar,1MS22EI031,vikashkumar489@gmail.com,7568375162
363,subhash,1MS22EI096,subhash50@gmail.com,7918331385
364,ravi teja nikkam,1MS23AL038-T,ravitejanikkam860@gmail.com,9500367339
365,farukh,1MS23CY032-T,farukh622@gmail.com,9173158432
366,rahul,1MS23ME065-T,rahul881@aol.com,7471174230
367,vivek,1MS21EI025,vivek314@gmail.com,9921576732
368,bharat singh,1MS23CS047-T,bharatsingh764@gmail.com,9959440387
369,mushrraf,1MS23EI081-T,mushrraf661@gmail.com,9842967053
370,yashpal singh,1MS23AI042-T,yashpalsingh342@gmail.com,9822481549
371,giriraj,1MS23AI070-T,giriraj678@gmail.com,7727885769
372,nooruddin,1MS23CY034-T,nooruddin529@gmail.com,8129666233
373,mukesh,1MS21CI065,mukesh423@gmail.com,7786905652
374,dheeraj,1MS21CY067,dheeraj928@gmail.com,8757568413
375,rohit thapa,1MS23EI013-T,rohitthapa107@hotmail.com,7927839181
376,rajkumar,1MS22CY054,rajkumar260@gmail.com,9373113715
377,rajeev,1MS21CI048,rajeev271@gmail.com,7534629047
378,arshad,1MS22ME018,arshad969@gmail.com,9800045764
379,ajaj ahmad,1MS23AL014-T,ajajahmad143@hotmail.com,8978389186
380,shaswat roy,1MS21CS083,shaswatroy911@yahoo.com,9921632308
381,krish,1MS23CY046-T,krish898@gmail.com,9706222241
382,gyanu kumar,1MS21CY028,gyanukumar555@outlook.com,8060888248
383,rohit,1MS22IS014,rohit575@gmail.com,7010875650
384,rakesh tyagi,1MS23AI060-T,rakeshtyagi996@gmail.com,9326166124
385,shahjad khan,1MS21AL011,shahjadkhan848@yahoo.com,9660786375
386,naresh mehta s/o hansraj mehta,1MS23EC046-T,nareshmehtas/ohansrajmehta78@gmail.com,9063955932
387,rohit,1MS21IS076,rohit897@gmail.com,7616796077
388,aakash chaudhary,1MS21AL086,aakashchaudhary385@gmail.com,7024589014
389,kumail,1MS21CS039,kumail116@gmail.com,7054350117
390,jitender,1MS23CS049-T,jitender957@gmail.com,7114932903
391,mehboob mehandi,1MS23AI044-T,mehboobmehandi287@gmail.com,9750368850
392,asruddin,1MS23CS072-T,asruddin879@outlook.com,8954862240
393,samar singh,1MS21CI070,samarsingh731@outlook.com,7042190520
394,murli dhar,1MS21EI059,murlidhar922@hotmail.com,8813772092
395,avinash kumar,1MS23CY078-T,avinashkumar275@gmail.com,9355712341
